epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
84,2576.95,0.30556,0.32857,0.15898,0.00139,0.11475,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000368219,0.000368219,0.000368219
85,2607.34,0.3008,0.31867,0.15534,0.00137,0.11563,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000365125,0.000365125,0.000365125
86,2637.59,0.29367,0.31884,0.15012,0.00135,0.1097,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000362031,0.000362031,0.000362031
87,2667.94,0.29357,0.32312,0.14974,0.00137,0.10513,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000358938,0.000358938,0.000358938
88,2698.31,0.29937,0.32566,0.15376,0.00138,0.11216,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000355844,0.000355844,0.000355844
89,2728.55,0.30357,0.32568,0.16353,0.0014,0.12529,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00035275,0.00035275,0.00035275
90,2758.89,0.30094,0.32682,0.1499,0.00138,0.11449,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000349656,0.000349656,0.000349656
91,2789.24,0.30073,0.33216,0.1562,0.0014,0.12055,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000346563,0.000346563,0.000346563
92,2819.5,0.30232,0.32667,0.15554,0.00137,0.11553,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000343469,0.000343469,0.000343469
93,2849.84,0.29894,0.32097,0.15868,0.00141,0.12205,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000340375,0.000340375,0.000340375
94,2880.25,0.29668,0.32611,0.15628,0.00136,0.11538,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000337281,0.000337281,0.000337281
95,2910.54,0.29971,0.32743,0.15682,0.00135,0.12173,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000334188,0.000334188,0.000334188
96,2940.93,0.2948,0.32576,0.15249,0.00136,0.11198,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000331094,0.000331094,0.000331094
97,2971.31,0.29207,0.31696,0.15024,0.00132,0.11506,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000328,0.000328,0.000328
98,3001.58,0.29832,0.3222,0.15461,0.00135,0.11879,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000324906,0.000324906,0.000324906
99,3031.98,0.29497,0.31029,0.15219,0.00136,0.11497,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000321812,0.000321812,0.000321812
100,3062.37,0.29364,0.31799,0.15734,0.00133,0.12218,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000318719,0.000318719,0.000318719
101,3092.79,0.29427,0.31633,0.14992,0.00135,0.11161,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000315625,0.000315625,0.000315625
102,3123.01,0.29434,0.31771,0.14869,0.00137,0.11453,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000312531,0.000312531,0.000312531
103,3153.39,0.28932,0.31574,0.14716,0.00134,0.11037,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000309437,0.000309437,0.000309437
104,3183.66,0.28895,0.32112,0.14893,0.00134,0.11371,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000306344,0.000306344,0.000306344
105,3214.04,0.29363,0.31346,0.15539,0.00135,0.11842,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00030325,0.00030325,0.00030325
106,3244.43,0.29257,0.31997,0.15323,0.00132,0.11664,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000300156,0.000300156,0.000300156
107,3274.7,0.29675,0.31516,0.15449,0.00132,0.11644,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000297063,0.000297063,0.000297063
108,3305.07,0.28959,0.32072,0.14893,0.00133,0.1154,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000293969,0.000293969,0.000293969
109,3335.46,0.2851,0.30613,0.14889,0.00129,0.11841,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000290875,0.000290875,0.000290875
110,3365.73,0.28821,0.31466,0.15149,0.00134,0.11637,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000287781,0.000287781,0.000287781
111,3396.12,0.28257,0.31381,0.14341,0.00127,0.11183,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000284688,0.000284688,0.000284688
112,3426.5,0.2845,0.3147,0.14402,0.00127,0.11166,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000281594,0.000281594,0.000281594
